step,node_id,node_n,node_name,op_name,node_kind,resource_kind,resource_id,runtime_role,device_type,device_index,thread_id,stream_id,start_ns,end_ns,duration_ns,correlation_id,linked_correlation_id,rf_id,kernel_file,has_tensor_io,compiled_graph_id,compiled_launch_id,module_path,module_class,module_size_bytes,module_has_parameters,module_parameters_have_data,module_has_buffers,module_buffers_have_data
0,k0,0,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,36141887,36217787,75900,2,0,2,,1,,-1,,,,,,,
0,k1,1,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,36266967,36296347,29380,3,0,3,,1,,-1,,,,,,,
0,k2,2,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,36321937,36338917,16980,4,0,4,,1,,-1,,,,,,,
0,k3,3,detach_,detach_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,36359987,36370757,10770,6,0,6,,1,,-1,,,,,,,
0,k4,4,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,36512947,36536227,23280,7,0,7,,1,,-1,,,,,,,
0,k5,5,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,36555917,36574097,18180,8,0,8,,1,,-1,,,,,,,
0,k6,6,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,36581127,36695467,114340,9,0,9,,1,,-1,,,,,,,
0,k7,7,detach_,detach_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,36709297,36715407,6110,11,0,11,,1,,-1,,,,,,,
0,k8,8,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,37058757,37088577,29820,12,0,12,,1,,-1,,,,,,,
0,k9,9,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,37102877,37121777,18900,13,0,13,,1,,-1,,,,,,,
0,k10,10,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,37129417,37141226,11809,14,0,14,,1,,-1,,,,,,,
0,k11,11,detach_,detach_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,37154336,37160646,6310,16,0,16,,1,,-1,,,,,,,
0,k12,12,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,37215516,37235096,19580,17,0,17,,1,,-1,,,,,,,
0,k13,13,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,37245876,37278296,32420,18,0,18,,1,,-1,,,,,,,
0,k14,14,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,37286056,37297266,11210,19,0,19,,1,,-1,,,,,,,
0,k15,15,detach_,detach_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,37317346,37323016,5670,21,0,21,,1,,-1,,,,,,,
0,k16,16,aten::empty_strided,aten::empty_strided,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,37439426,37822386,382960,24,0,24,,1,,-1,,,,,,,
0,k17,17,cudaStreamIsCapturing,cudaStreamIsCapturing,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,37865286,37874276,8990,12,25,,,0,,-1,,,,,,,
0,k18,18,cudaMemcpyAsync,cudaMemcpyAsync,cpu_leaf,cpu_thread,1,submit,CPU,4140351,1,4140351,37877425,37923536,46111,14,25,,,0,,-1,,,,,,,
0,k19,19,Memcpy HtoD (Pageable -> Device),Memcpy HtoD (Pageable -> Device),gpu_runtime,gpu_stream,7,gpu_runtime,CUDA,0,1,7,37921999,37922447,448,14,25,25,,1,,-1,,,,,,,
0,k20,20,cudaStreamSynchronize,cudaStreamSynchronize,cpu_leaf,cpu_thread,1,wait,CPU,4140351,1,4140351,37924505,37939365,14860,15,25,,,0,,-1,,,,,,,
0,k21,21,TorchDynamo Cache Lookup,TorchDynamo Cache Lookup,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,38279085,38384305,105220,26,0,26,,1,,-1,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k22,22,TorchDynamo Cache Lookup,TorchDynamo Cache Lookup,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,38425635,38775435,349800,28,0,28,,1,,-1,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k23,23,Pregraph bytecode,Pregraph bytecode,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,38859255,38977144,117889,30,0,30,,1,,-1,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k24,24,AOTDispatcher Runtime Wrapper Prologue,AOTDispatcher Runtime Wrapper Prologue,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,39089024,39134364,45340,31,0,31,,1,,-1,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k25,25,cuLaunchKernel,cuLaunchKernel,cpu_leaf,cpu_thread,1,submit,CPU,4140351,1,4140351,40745973,40784802,38829,37,34,,,0,0,0,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k26,26,triton_per_fused_add_embedding_native_layer_norm_0,triton_per_fused_add_embedding_native_layer_norm_0,gpu_runtime,gpu_stream,7,gpu_runtime,CUDA,0,1,7,40780833,40784033,3200,37,34,34,cioylio7mnict4xxy3vyrmnzp7tobfosjpi2hmp5h4pb3xuhupg5.py,1,0,0,,,,,,,
0,k27,27,cudaDeviceGetAttribute,cudaDeviceGetAttribute,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,41136042,41138142,2100,73,36,,,0,0,1,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k28,28,cudaMemsetAsync,cudaMemsetAsync,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,41144192,41145662,1470,76,36,,,0,0,1,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k29,29,cuLaunchKernel,cuLaunchKernel,cpu_leaf,cpu_thread,1,submit,CPU,4140351,1,4140351,41146152,41163042,16890,77,36,,,0,0,1,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k30,30,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8::Params),void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8::Params),gpu_runtime,gpu_stream,7,gpu_runtime,CUDA,0,1,7,41161507,41171331,9824,77,36,36,,1,0,1,,,,,,,
0,k31,31,cudaDeviceGetAttribute,cudaDeviceGetAttribute,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,41410212,41410902,690,115,38,,,0,0,2,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k32,32,cudaMemsetAsync,cudaMemsetAsync,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,41413332,41413742,410,118,38,,,0,0,2,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k33,33,cuLaunchKernel,cuLaunchKernel,cpu_leaf,cpu_thread,1,submit,CPU,4140351,1,4140351,41414162,41428022,13860,119,38,,,0,0,2,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k34,34,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8::Params),void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8::Params),gpu_runtime,gpu_stream,7,gpu_runtime,CUDA,0,1,7,41427525,41436997,9472,119,38,38,,1,0,2,,,,,,,
0,k35,35,cudaDeviceGetAttribute,cudaDeviceGetAttribute,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,41643602,41644312,710,157,40,,,0,0,3,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k36,36,cudaMemsetAsync,cudaMemsetAsync,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,41646522,41646842,320,160,40,,,0,0,3,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k37,37,cuLaunchKernel,cuLaunchKernel,cpu_leaf,cpu_thread,1,submit,CPU,4140351,1,4140351,41647212,41659921,12709,161,40,,,0,0,3,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k38,38,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8::Params),void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8::Params),gpu_runtime,gpu_stream,7,gpu_runtime,CUDA,0,1,7,41659942,41669286,9344,161,40,40,,1,0,3,,,,,,,
0,k39,39,cuLaunchKernel,cuLaunchKernel,cpu_leaf,cpu_thread,1,submit,CPU,4140351,1,4140351,41929661,41948321,18660,170,42,,,0,0,4,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k40,40,triton_poi_fused__scaled_dot_product_efficient_attention_add_arange_constant_pad_nd_expand_le_scalar_tensor_slice_transpose_unsqueeze_view_where_1,triton_poi_fused__scaled_dot_product_efficient_attention_add_arange_constant_pad_nd_expand_le_scalar_tensor_slice_transpose_unsqueeze_view_where_1,gpu_runtime,gpu_stream,7,gpu_runtime,CUDA,0,1,7,41945192,41946216,1024,170,42,42,cny7v4hkeequn2xwe3jktizw3zqlhdjthuf3clvnsi3uwdno3pwt.py,1,0,4,,,,,,,
0,k41,41,aten::as_strided,aten::as_strided,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,42195761,42232041,36280,46,0,46,,1,0,5,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k42,42,aten::as_strided,aten::as_strided,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,42269081,42286861,17780,48,0,48,,1,0,5,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k43,43,aten::as_strided,aten::as_strided,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,42324861,42341141,16280,50,0,50,,1,0,5,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k44,44,cudaStreamIsCapturing,cudaStreamIsCapturing,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,42417421,42419731,2310,178,51,,,0,0,5,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k45,45,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,42428271,42454311,26040,52,0,52,,1,0,5,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k46,46,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,42461071,42478661,17590,53,0,53,,1,0,5,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k47,47,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,42489651,42521811,32160,54,0,54,,1,0,5,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k48,48,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,42530471,42553901,23430,55,0,55,,1,0,5,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k49,49,cudaLaunchKernel,cudaLaunchKernel,cpu_leaf,cpu_thread,1,submit,CPU,4140351,1,4140351,42561501,42584121,22620,193,51,,,0,0,5,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k50,50,"fmha_cutlassF_f16_aligned_64x64_rf_sm80(PyTorchMemEffAttention::AttentionKernel<cutlass::half_t, cutlass::arch::Sm80, true, 64, 64, 64, true, true>::Params)","fmha_cutlassF_f16_aligned_64x64_rf_sm80(PyTorchMemEffAttention::AttentionKernel<cutlass::half_t, cutlass::arch::Sm80, true, 64, 64, 64, true, true>::Params)",gpu_runtime,gpu_stream,7,gpu_runtime,CUDA,0,1,7,42579052,42589805,10753,193,51,51,,1,0,5,,,,,,,
0,k51,51,aten::as_strided,aten::as_strided,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,42661020,42679271,18251,57,0,57,,1,0,5,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k52,52,cudaDeviceGetAttribute,cudaDeviceGetAttribute,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,42959790,42960700,910,232,59,,,0,0,6,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k53,53,cudaMemsetAsync,cudaMemsetAsync,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4140351,1,4140351,42963670,42964180,510,235,59,,,0,0,6,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k54,54,cuLaunchKernel,cuLaunchKernel,cpu_leaf,cpu_thread,1,submit,CPU,4140351,1,4140351,42964690,42979780,15090,236,59,,,0,0,6,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
