step,tensor_n,tensor_name,tensor_node_id,tensor_kind,tensor_id,storage_id,offset,numel,itemsize,tensor_size_bytes,device,dtype,shape,producer_count,consumer_count
0,0,cache_5_6,t0,CONTEXT,5,6,0,11,8,88,cpu,,"[1,11]",3,4
0,1,cache_12_13,t1,CONTEXT,12,13,0,11,8,88,cpu,,"[1,11]",3,3
0,2,cache_21_22,t2,CONTEXT,21,22,0,11,8,88,cuda:0,,"[1,11]",2,6
0,3,cache_28_29,t3,CONTEXT,28,29,0,1,8,8,cpu,,[],3,66
0,4,cache_33_34,t4,CONTEXT,33,34,0,1,8,8,cpu,,[],3,3
0,5,cache_38_39,t5,CONTEXT,38,39,0,1,8,8,cpu,,[],3,3
0,6,cache_43_44,t6,CONTEXT,43,44,0,1,8,8,cpu,,[],3,3
0,7,cache_48_49,t7,CONTEXT,48,49,0,1,8,8,cpu,,[],3,3
0,8,cache_53_54,t8,CONTEXT,53,54,0,1,8,8,cpu,,[],3,3
0,9,cache_58_59,t9,CONTEXT,58,59,0,1,8,8,cpu,,[],3,3
0,10,cache_63_64,t10,CONTEXT,63,64,0,1,8,8,cpu,,[],3,3
0,11,cache_68_69,t11,CONTEXT,68,69,0,1,8,8,cpu,,[],3,3
0,12,cache_73_74,t12,CONTEXT,73,74,0,1,8,8,cpu,,[],3,3
0,13,cache_78_79,t13,CONTEXT,78,79,0,1,8,8,cpu,,[],3,3
0,14,cache_83_84,t14,CONTEXT,83,84,0,1,8,8,cpu,,[],3,3
0,15,cache_88_89,t15,CONTEXT,88,89,0,1,8,8,cpu,,[],3,3
0,16,cache_93_94,t16,CONTEXT,93,94,0,1,8,8,cpu,,[],3,3
0,17,cache_98_99,t17,CONTEXT,98,99,0,1,8,8,cpu,,[],3,3
0,18,cache_103_104,t18,CONTEXT,103,104,0,1,8,8,cpu,,[],3,3
0,19,cache_108_109,t19,CONTEXT,108,109,0,1,8,8,cpu,,[],3,3
0,20,cache_113_114,t20,CONTEXT,113,114,0,1,8,8,cpu,,[],3,3
0,21,cache_118_119,t21,CONTEXT,118,119,0,1,8,8,cpu,,[],3,3
0,22,cache_123_124,t22,CONTEXT,123,124,0,1,8,8,cpu,,[],3,3
0,23,cache_128_129,t23,CONTEXT,128,129,0,1,8,8,cpu,,[],3,3
0,24,cache_133_134,t24,CONTEXT,133,134,0,1,8,8,cpu,,[],3,3
0,25,cache_138_139,t25,CONTEXT,138,139,0,1,8,8,cpu,,[],3,3
0,26,cache_143_144,t26,CONTEXT,143,144,0,1,8,8,cpu,,[],3,3
0,27,cache_148_149,t27,CONTEXT,148,149,0,1,8,8,cpu,,[],3,3
0,28,cache_153_154,t28,CONTEXT,153,154,0,1,8,8,cpu,,[],3,3
0,29,cache_158_159,t29,CONTEXT,158,159,0,1,8,8,cpu,,[],3,3
0,30,cache_163_164,t30,CONTEXT,163,164,0,1,8,8,cpu,,[],3,3
0,31,cache_168_169,t31,CONTEXT,168,169,0,1,8,8,cpu,,[],3,3
0,32,cache_173_174,t32,CONTEXT,173,174,0,1,8,8,cpu,,[],3,3
0,33,cache_178_179,t33,CONTEXT,178,179,0,1,8,8,cpu,,[],3,3
0,34,cache_183_184,t34,CONTEXT,183,184,0,1,8,8,cpu,,[],3,3
0,35,cache_188_189,t35,CONTEXT,188,189,0,1,8,8,cpu,,[],3,3
0,36,cache_193_194,t36,CONTEXT,193,194,0,1,8,8,cpu,,[],3,3
0,37,cache_198_199,t37,CONTEXT,198,199,0,1,8,8,cpu,,[],3,3
0,38,cache_203_204,t38,CONTEXT,203,204,0,1,8,8,cpu,,[],3,3
0,39,cache_208_209,t39,CONTEXT,208,209,0,1,8,8,cpu,,[],3,3
0,40,cache_213_214,t40,CONTEXT,213,214,0,1,8,8,cpu,,[],3,3
0,41,cache_218_219,t41,CONTEXT,218,219,0,1,8,8,cpu,,[],3,3
0,42,cache_223_224,t42,CONTEXT,223,224,0,1,8,8,cpu,,[],3,3
0,43,cache_228_229,t43,CONTEXT,228,229,0,1,8,8,cpu,,[],3,3
0,44,cache_233_234,t44,CONTEXT,233,234,0,1,8,8,cpu,,[],3,3
0,45,cache_238_239,t45,CONTEXT,238,239,0,1,8,8,cpu,,[],3,3
0,46,cache_243_244,t46,CONTEXT,243,244,0,1,8,8,cpu,,[],3,3
0,47,cache_248_249,t47,CONTEXT,248,249,0,1,8,8,cpu,,[],3,3
0,48,cache_253_254,t48,CONTEXT,253,254,0,1,8,8,cpu,,[],3,3
0,49,cache_258_259,t49,CONTEXT,258,259,0,1,8,8,cpu,,[],3,3
0,50,cache_263_264,t50,CONTEXT,263,264,0,1,8,8,cpu,,[],3,3
0,51,cache_268_269,t51,CONTEXT,268,269,0,1,8,8,cpu,,[],3,3
0,52,cache_273_274,t52,CONTEXT,273,274,0,1,8,8,cpu,,[],3,3
0,53,cache_278_279,t53,CONTEXT,278,279,0,1,8,8,cpu,,[],3,3
0,54,cache_283_284,t54,CONTEXT,283,284,0,1,8,8,cpu,,[],3,3
0,55,cache_288_289,t55,CONTEXT,288,289,0,1,8,8,cpu,,[],3,3
0,56,cache_293_294,t56,CONTEXT,293,294,0,1,8,8,cpu,,[],3,3
0,57,cache_298_299,t57,CONTEXT,298,299,0,1,8,8,cpu,,[],3,3
0,58,cache_303_304,t58,CONTEXT,303,304,0,1,8,8,cpu,,[],3,3
0,59,cache_308_309,t59,CONTEXT,308,309,0,1,8,8,cpu,,[],3,3
0,60,cache_313_314,t60,CONTEXT,313,314,0,1,8,8,cpu,,[],3,3
0,61,cache_318_319,t61,CONTEXT,318,319,0,1,8,8,cpu,,[],3,3
0,62,cache_323_324,t62,CONTEXT,323,324,0,1,8,8,cpu,,[],3,3
0,63,cache_328_329,t63,CONTEXT,328,329,0,1,8,8,cpu,,[],3,3
0,64,cache_333_334,t64,CONTEXT,333,334,0,1,8,8,cpu,,[],3,3
0,65,cache_338_339,t65,CONTEXT,338,339,0,1,8,8,cpu,,[],3,3
